post_id,factcheck_id,post_language,random_examples_with_ids
20480,145253,slk,"[(11027, 122835, 'Yes'), (4591, 7349, 'Yes'), (11027, 101780, 'Yes'), (4883, 171893, 'No'), (2727, 7602, 'No'), (26746, 165768, 'No'), (4883, 70380, 'Yes'), (22806, 187902, 'No'), (4883, 12970, 'Yes'), (4555, 193594, 'No')]"
20480,146908,slk,"[(3705, 176954, 'No'), (4883, 70380, 'Yes'), (4883, 12970, 'Yes'), (7496, 18473, 'Yes'), (1137, 72569, 'No'), (3705, 176957, 'No'), (11027, 101780, 'Yes'), (2727, 205707, 'No'), (4555, 193594, 'No'), (4883, 124552, 'Yes')]"
20480,145248,slk,"[(22806, 187902, 'No'), (11027, 122835, 'Yes'), (26746, 165768, 'No'), (4883, 70380, 'Yes'), (4591, 7349, 'Yes'), (4555, 193594, 'No'), (585, 113990, 'No'), (4883, 12970, 'Yes'), (7496, 18473, 'Yes'), (2727, 7602, 'No')]"
20480,145065,slk,"[(4883, 123386, 'Yes'), (22806, 187902, 'No'), (1137, 154672, 'No'), (4883, 12970, 'Yes'), (2727, 205707, 'No'), (26746, 165768, 'No'), (4883, 124552, 'Yes'), (4883, 171893, 'No'), (4591, 7349, 'Yes'), (4883, 70380, 'Yes')]"
20480,78904,slk,"[(1137, 154786, 'No'), (11027, 122835, 'Yes'), (4883, 123386, 'Yes'), (26746, 165768, 'No'), (1137, 72569, 'No'), (11027, 118912, 'Yes'), (4555, 193594, 'No'), (11027, 101780, 'Yes'), (26746, 205690, 'No'), (4883, 12970, 'Yes')]"
20480,145067,slk,"[(2727, 205707, 'No'), (4883, 171893, 'No'), (4591, 7349, 'Yes'), (26746, 166697, 'No'), (1137, 15247, 'No'), (26746, 165768, 'No'), (4883, 70380, 'Yes'), (11027, 122835, 'Yes'), (4883, 12970, 'Yes'), (11027, 101780, 'Yes')]"
20480,124597,slk,"[(11027, 101780, 'Yes'), (4555, 193594, 'No'), (2727, 7638, 'No'), (3705, 176957, 'No'), (3705, 176954, 'No'), (11027, 122835, 'Yes'), (4591, 7349, 'Yes'), (585, 113990, 'No'), (4883, 70380, 'Yes'), (4883, 124552, 'Yes')]"
20480,92320,slk,"[(11027, 122835, 'Yes'), (2727, 205707, 'No'), (26746, 45440, 'No'), (4591, 7349, 'Yes'), (4883, 171893, 'No'), (585, 113990, 'No'), (11027, 101780, 'Yes'), (18703, 52260, 'No'), (4883, 124552, 'Yes'), (4883, 70380, 'Yes')]"
20480,59929,slk,"[(585, 113990, 'No'), (11027, 122835, 'Yes'), (4883, 124552, 'Yes'), (18703, 52260, 'No'), (4591, 7349, 'Yes'), (4883, 171893, 'No'), (4883, 12970, 'Yes'), (4555, 193594, 'No'), (4883, 70380, 'Yes'), (26746, 45440, 'No')]"
20480,145252,slk,"[(4883, 70380, 'Yes'), (26746, 165768, 'No'), (4883, 12970, 'Yes'), (26746, 166697, 'No'), (4591, 7349, 'Yes'), (11027, 101780, 'Yes'), (26746, 45440, 'No'), (11027, 122835, 'Yes'), (2727, 7602, 'No'), (4883, 171893, 'No')]"
