post_id,factcheck_id,post_language,factcheck_language,rating
20480,145253,slk,slk,Yes
20480,146908,slk,slk,No
20480,145248,slk,slk,No
20480,145065,slk,slk,No
20480,78904,slk,slk,No
20480,145067,slk,slk,No
20480,124597,slk,slk,No
20480,92320,slk,slk,No
20480,59929,slk,slk,No
20480,145252,slk,slk,No
22531,9368,slk,slk,Yes
22531,59885,slk,slk,No
22531,138995,slk,slk,No
22531,95121,slk,slk,No
22531,146878,slk,slk,No
22531,145064,slk,slk,No
22531,55378,slk,slk,No
22531,100203,slk,slk,No
22531,108320,slk,slk,No
22531,92221,slk,slk,No
4100,8369,ara,ara,No
4100,172272,ara,ara,No
4100,174041,ara,ara,No
4100,173833,ara,ara,No
4100,163969,ara,ara,No
4100,7741,ara,ara,No
4100,173328,ara,ara,No
4100,164766,ara,ara,No
4100,172237,ara,ara,No
4100,174022,ara,ara,No
4100,44204,ara,fra,No
4100,155777,ara,fra,No
4100,146905,ara,fra,No
4100,80372,ara,fra,No
16389,35004,eng,eng,Yes
16389,42129,eng,eng,Yes
16389,42130,eng,eng,Yes
16389,153203,eng,eng,Yes
16389,42128,eng,eng,Yes
16389,69226,eng,eng,No
16389,199280,eng,eng,No
16389,196266,eng,eng,No
16389,33448,eng,eng,No
16389,197958,eng,eng,No
4106,76356,eng,por,No
4106,198246,eng,por,No
4106,74927,eng,por,No
4106,100024,eng,por,No
4106,63606,eng,por,No
4106,11720,eng,por,No
4106,46101,eng,por,No
4106,20478,eng,por,No
4106,76689,eng,por,No
8203,42630,deu,deu,No
8203,45127,deu,deu,No
8203,154029,deu,deu,Yes
8203,44091,deu,deu,No
8203,45381,deu,deu,No
8203,42557,deu,deu,No
8203,139963,deu,deu,No
8203,70009,deu,deu,Yes
8203,49820,deu,deu,No
8203,45489,deu,deu,Yes
8203,196287,deu,eng,No
8203,129531,deu,eng,Yes
8203,40314,deu,eng,No
8203,3361,deu,fra,No
8203,33505,deu,eng,No
8203,52455,deu,fra,No
8203,18270,deu,eng,No
8203,102491,deu,eng,No
8203,34414,deu,eng,No
8203,34512,deu,eng,Yes
8203,82476,deu,fra,No
8203,196229,deu,eng,No
8203,12328,deu,eng,No
8203,42688,deu,eng,No
8203,153964,deu,fra,Yes
8203,27752,deu,fra,Yes
8203,44169,deu,fra,No
8203,155855,deu,fra,Yes
8203,201389,deu,eng,Yes
8203,132534,deu,eng,No
8203,154008,deu,eng,Yes
8203,126117,deu,eng,No
8203,34346,deu,eng,No
8203,198721,deu,eng,No
8203,67953,deu,fra,No
10251,134970,hbs,hbs,Yes
10251,41076,hbs,hbs,No
10251,202538,hbs,hbs,No
10251,78376,hbs,hbs,No
10251,194503,hbs,hbs,No
10251,92186,hbs,hbs,No
10251,139440,hbs,hbs,No
10251,200492,hbs,hbs,No
10251,197394,hbs,hbs,No
10251,198556,hbs,hbs,No
20492,110002,hbs,hbs,Yes
20492,87856,hbs,hbs,No
20492,83799,hbs,hbs,No
20492,84100,hbs,hbs,No
20492,139440,hbs,hbs,No
20492,47855,hbs,hbs,No
20492,134965,hbs,hbs,No
20492,199393,hbs,hbs,No
20492,139434,hbs,hbs,Yes
20492,152897,hbs,hbs,No
20493,100204,slk,slk,Yes
20493,139472,slk,slk,Yes
20493,109810,slk,slk,No
20493,95121,slk,slk,No
20493,141050,slk,slk,No
20493,102555,slk,slk,No
20493,100207,slk,slk,No
20493,31287,slk,slk,No
20493,23690,slk,slk,No
20493,139453,slk,slk,No
8207,45500,deu,deu,No
8207,71303,deu,deu,No
8207,45229,deu,deu,No
8207,57117,deu,deu,No
8207,45492,deu,deu,No
8207,149348,deu,deu,No
8207,45405,deu,deu,Yes
8207,156774,deu,deu,No
8207,136344,deu,deu,No
8207,23200,deu,deu,No
8207,201444,deu,eng,No
8207,195020,deu,eng,No
8207,142802,deu,eng,No
8207,118916,deu,fra,No
8207,138236,deu,fra,No
8207,31467,deu,eng,No
8207,36616,deu,fra,No
8207,61727,deu,eng,No
8207,62538,deu,eng,No
8207,149727,deu,eng,No
8207,120756,deu,eng,No
8207,200313,deu,eng,No
8207,201464,deu,eng,No
8207,138223,deu,fra,No
8207,44105,deu,eng,No
8207,127099,deu,eng,No
4107,34406,deu,eng,Yes
4107,138590,deu,eng,No
4107,3361,deu,fra,No
4107,196287,deu,eng,No
4107,41205,deu,eng,No
4107,137240,deu,fra,Yes
4107,8936,deu,eng,No
4107,47875,deu,eng,No
4107,61061,deu,eng,Yes
4107,27752,deu,fra,No
4107,41206,deu,eng,Yes
4107,42688,deu,eng,No
4107,131487,deu,eng,No
4107,106669,deu,fra,Yes
4107,71653,deu,eng,No
4107,198096,deu,eng,No
4107,1440,deu,fra,Yes
4107,40314,deu,eng,No
12305,59641,msa,msa,No
12305,9415,msa,msa,No
12305,59805,msa,msa,Yes
12305,145171,msa,msa,Yes
12305,102279,msa,msa,Yes
12305,46938,msa,msa,No
12305,145145,msa,msa,Yes
12305,59640,msa,msa,Yes
12305,148855,msa,msa,No
12305,59431,msa,msa,Yes
22546,157586,hbs,hbs,Yes
22546,157581,hbs,hbs,Yes
22546,157582,hbs,hbs,Yes
22546,46951,hbs,hbs,Yes
